geoid,geoid20,year,tot_units_count,li_units_count
1400000US06037195300,6037195300,2019,0,0
1400000US06037195400,6037195400,2019,64,63
1400000US06037195500,6037195500,2019,14,14
1400000US06037195600,6037195600,2019,45,44
1400000US06037195710,6037195710,2019,36,35
1400000US06037195720,6037195720,2019,16,12
1400000US06037195802,6037195802,2019,38,37
1400000US06037195803,6037195803,2019,35,35
1400000US06037195804,6037195804,2019,0,0
1400000US06037195901,6037195901,2019,0,0
1400000US06037195902,6037195902,2019,0,0
1400000US06037195903,6037195903,2019,30,29
1400000US06037197200,6037197200,2019,0,0
1400000US06037197300,6037197300,2019,0,0
1400000US06037197410,6037197410,2019,0,0
1400000US06037197420,6037197420,2019,0,0
1400000US06037197500,6037197500,2019,0,0
1400000US06037197600,6037197600,2019,54,52
1400000US06037197700,6037197700,2019,19,18
1400000US06037199001,6037199001,2019,146,144
1400000US06037199002,6037199002,2019,170,167
1400000US06037199110,6037199110,2019,84,83
1400000US06037199120,6037199120,2019,227,225
1400000US06037199201,6037199201,2019,40,39
1400000US06037199202,6037199202,2019,0,0
1400000US06037199300,6037199300,2019,0,0
1400000US06037199400,6037199400,2019,0,0
1400000US06037199700,6037199700,2019,0,0
1400000US06037199801,6037199801,2019,0,0
1400000US06037199802,6037199802,2019,0,0
1400000US06037199900,6037199900,2019,37,36
1400000US06037201110,6037201110,2019,0,0
1400000US06037201120,6037201120,2019,46,46
1400000US06037201200,6037201200,2019,0,0
1400000US06037201301,6037201301,2019,48,47
1400000US06037201302,6037201302,2019,0,0
1400000US06037201401,6037201401,2019,187,172
1400000US06037201402,6037201402,2019,0,0
1400000US06037201501,6037201501,2019,0,0
1400000US06037201503,6037201503,2019,0,0
1400000US06037201504,6037201504,2019,0,0
1400000US06037201601,6037201601,2019,0,0
1400000US06037201602,6037201602,2019,0,0
1400000US06037201700,6037201700,2019,0,0
1400000US06037203100,6037203100,2019,0,0
1400000US06037203200,6037203200,2019,24,24
1400000US06037203300,6037203300,2019,0,0
1400000US06037203500,6037203500,2019,51,50
1400000US06037203601,6037203601,2019,10,10
1400000US06037203602,6037203602,2019,0,0
1400000US06037203710,6037203710,2019,0,0
1400000US06037203720,6037203720,2019,0,0
1400000US06037203800,6037203800,2019,52,52
1400000US06037203900,6037203900,2019,0,0
1400000US06037204110,6037204110,2019,0,0
1400000US06037204120,6037204120,2019,0,0
1400000US06037204200,6037204200,2019,133,79
1400000US06037204300,6037204300,2019,88,87
1400000US06037204410,6037204410,2019,0,0
1400000US06037204420,6037204420,2019,162,161
1400000US06037204600,6037204600,2019,119,118
1400000US06037204700,6037204700,2019,0,0
1400000US06037204810,6037204810,2019,161,158
1400000US06037204820,6037204820,2019,0,0
1400000US06037204910,6037204910,2019,145,143
1400000US06037204920,6037204920,2019,62,32
1400000US06037205110,6037205110,2019,0,0
1400000US06037205120,6037205120,2019,0,0
1400000US06037206010,6037206010,2019,0,0
1400000US06037206020,6037206020,2019,0,0
1400000US06037206050,6037206050,2019,123,121
1400000US06037206051,6037206051,2019,60,60
1400000US06037206052,6037206052,2019,88,88
1400000US06037206053,6037206053,2019,79,78
1400000US06037206054,6037206054,2019,201,200
1400000US06037206201,6037206201,2019,511,324
1400000US06037206202,6037206202,2019,418,314
1400000US06037206301,6037206301,2019,545,541
1400000US06037206302,6037206302,2019,730,718
1400000US06037206303,6037206303,2019,555,552
1400000US06037207101,6037207101,2019,367,367
1400000US06037207102,6037207102,2019,340,337
1400000US06037207103,6037207103,2019,177,122
1400000US06037207303,6037207303,2019,441,438
1400000US06037207304,6037207304,2019,463,461
1400000US06037207305,6037207305,2019,38,36
1400000US06037207306,6037207306,2019,486,482
1400000US06037207307,6037207307,2019,663,537
1400000US06037207308,6037207308,2019,0,0
1400000US06037207400,6037207400,2019,0,0
1400000US06037207501,6037207501,2019,0,0
1400000US06037207502,6037207502,2019,1149,1142
1400000US06037207711,6037207711,2019,0,0
1400000US06037207712,6037207712,2019,309,308
1400000US06037207901,6037207901,2019,331,118
1400000US06037207902,6037207902,2019,161,94
1400000US06037208001,6037208001,2019,545,332
1400000US06037208002,6037208002,2019,403,398
1400000US06037208301,6037208301,2019,19,19
1400000US06037208302,6037208302,2019,402,398
1400000US06037208401,6037208401,2019,206,204
1400000US06037208402,6037208402,2019,34,33
1400000US06037208501,6037208501,2019,170,164
1400000US06037208502,6037208502,2019,104,103
1400000US06037208610,6037208610,2019,40,39
1400000US06037208620,6037208620,2019,30,29
1400000US06037208710,6037208710,2019,0,0
1400000US06037208720,6037208720,2019,256,251
1400000US06037208801,6037208801,2019,284,282
1400000US06037208802,6037208802,2019,185,145
1400000US06037208902,6037208902,2019,90,89
1400000US06037208903,6037208903,2019,450,365
1400000US06037208904,6037208904,2019,141,120
1400000US06037209103,6037209103,2019,223,219
1400000US06037209104,6037209104,2019,438,438
1400000US06037209105,6037209105,2019,21,20
1400000US06037209106,6037209106,2019,228,226
1400000US06037209201,6037209201,2019,295,294
1400000US06037209202,6037209202,2019,188,180
1400000US06037209300,6037209300,2019,425,414
1400000US06037209401,6037209401,2019,549,480
1400000US06037209402,6037209402,2019,18,18
1400000US06037209403,6037209403,2019,319,315
1400000US06037209510,6037209510,2019,62,61
1400000US06037209520,6037209520,2019,469,445
1400000US06037209810,6037209810,2019,0,0
1400000US06037209820,6037209820,2019,63,61
1400000US06037210010,6037210010,2019,159,158
1400000US06037211000,6037211000,2019,0,0
1400000US06037211121,6037211121,2019,0,0
1400000US06037211122,6037211122,2019,124,119
1400000US06037211123,6037211123,2019,591,231
1400000US06037211124,6037211124,2019,0,0
1400000US06037211201,6037211201,2019,0,0
1400000US06037211202,6037211202,2019,55,55
1400000US06037211310,6037211310,2019,0,0
1400000US06037211320,6037211320,2019,96,93
1400000US06037211410,6037211410,2019,0,0
1400000US06037211420,6037211420,2019,36,36
1400000US06037211500,6037211500,2019,0,0
1400000US06037211701,6037211701,2019,133,92
1400000US06037211703,6037211703,2019,0,0
1400000US06037211704,6037211704,2019,156,154
1400000US06037211802,6037211802,2019,0,0
1400000US06037211803,6037211803,2019,0,0
1400000US06037211804,6037211804,2019,0,0
1400000US06037211910,6037211910,2019,55,55
1400000US06037211921,6037211921,2019,0,0
1400000US06037211922,6037211922,2019,0,0
1400000US06037212101,6037212101,2019,0,0
1400000US06037212102,6037212102,2019,507,502
1400000US06037212202,6037212202,2019,0,0
